WIKIDATA,NAME,MS_FB,MS_FB_PARE
Q50258901,성동구제1선거구,country:kr/special-city:11/flacs-constituency:Seongdong District 1,country:kr/special-city:11
Q50259908,노원구제1선거구,country:kr/special-city:11/flacs-constituency:Nowon District 1,country:kr/special-city:11
Q50277264,북구제1선거구,country:kr/met-city:29/flacs-constituency:Buk District 1,country:kr/met-city:29
Q50277504,북구제2선거구,country:kr/met-city:29/flacs-constituency:Buk District 2,country:kr/met-city:29
Q50277669,북구제3선거구,country:kr/met-city:29/flacs-constituency:Buk District 3,country:kr/met-city:29
Q50277851,북구제4선거구,country:kr/met-city:29/flacs-constituency:Buk District 4,country:kr/met-city:29
Q50277904,광주광역시북구제5선거구,country:kr/met-city:29/flacs-constituency:Buk District 5,country:kr/met-city:29
Q50572340,전주시제1선거구,country:kr/province:45/flacs-constituency:Jeonju 1,country:kr/province:45
Q50572342,순창군선거구,country:kr/province:45/flacs-constituency:Sunchang County 1,country:kr/province:45
Q50572343,무주군선거구,country:kr/province:45/flacs-constituency:Muju County 1,country:kr/province:45
Q50572344,완주군제2선거구,country:kr/province:45/flacs-constituency:Wanju County 2,country:kr/province:45
Q50572345,김제시제2선거구,country:kr/province:45/flacs-constituency:Gimje 2,country:kr/province:45
Q50572346,정읍시제2선거구,country:kr/province:45/flacs-constituency:Jeongeup 2,country:kr/province:45
Q50572348,남원시제2선거구,country:kr/province:45/flacs-constituency:Namwon 2,country:kr/province:45
Q50572349,전주시제7선거구,country:kr/province:45/flacs-constituency:Jeonju 7,country:kr/province:45
Q50572351,군산시제3선거구,country:kr/province:45/flacs-constituency:Gunsan 3,country:kr/province:45
Q50572352,전주시제9선거구,country:kr/province:45/flacs-constituency:Jeonju 9,country:kr/province:45
Q50572353,전주시제4선거구,country:kr/province:45/flacs-constituency:Jeonju 4,country:kr/province:45
Q50572354,익산시제4선거구,country:kr/province:45/flacs-constituency:Iksan 4,country:kr/province:45
Q50572356,완주군제1선거구,country:kr/province:45/flacs-constituency:Wanju County 1,country:kr/province:45
Q50572358,군산시제4선거구,country:kr/province:45/flacs-constituency:Gunsan 4,country:kr/province:45
Q50572359,전주시제8선거구,country:kr/province:45/flacs-constituency:Jeonju 8,country:kr/province:45
Q50572361,전주시제6선거구,country:kr/province:45/flacs-constituency:Jeonju 6,country:kr/province:45
Q50572363,전주시제2선거구,country:kr/province:45/flacs-constituency:Jeonju 2,country:kr/province:45
Q50572364,장수군선거구,country:kr/province:45/flacs-constituency:Jangsu County 1,country:kr/province:45
Q50572366,익산시제1선거구,country:kr/province:45/flacs-constituency:Iksan 1,country:kr/province:45
Q50572367,김제시제1선거구,country:kr/province:45/flacs-constituency:Gimje 1,country:kr/province:45
Q50572368,부안군제1선거구,country:kr/province:45/flacs-constituency:Buan County 1,country:kr/province:45
Q50572370,정읍시제1선거구,country:kr/province:45/flacs-constituency:Jeongeup 1,country:kr/province:45
Q50572373,진안군선거구,country:kr/province:45/flacs-constituency:Jinan County 1,country:kr/province:45
Q50572374,고창군제1선거구,country:kr/province:45/flacs-constituency:Gochang County 1,country:kr/province:45
Q50572376,임실군선거구,country:kr/province:45/flacs-constituency:Imsil County 1,country:kr/province:45
Q50572378,부안군제2선거구,country:kr/province:45/flacs-constituency:Buan County 2,country:kr/province:45
Q50572381,전주시제3선거구,country:kr/province:45/flacs-constituency:Jeonju 3,country:kr/province:45
Q50572385,군산시제1선거구,country:kr/province:45/flacs-constituency:Gunsan 1,country:kr/province:45
Q50572386,남원시제1선거구,country:kr/province:45/flacs-constituency:Namwon 1,country:kr/province:45
Q50572388,익산시제3선거구,country:kr/province:45/flacs-constituency:Iksan 3,country:kr/province:45
Q50572390,전주시제5선거구,country:kr/province:45/flacs-constituency:Jeonju 5,country:kr/province:45
Q50572391,익산시제2선거구,country:kr/province:45/flacs-constituency:Iksan 2,country:kr/province:45
Q50572393,군산시제2선거구,country:kr/province:45/flacs-constituency:Gunsan 2,country:kr/province:45
Q50572395,고창군제2선거구,country:kr/province:45/flacs-constituency:Gochang County 2,country:kr/province:45
Q50572397,용인시제8선거구,country:kr/province:41/flacs-constituency:Yongin 8,country:kr/province:41
Q50572402,고양시제4선거구,country:kr/province:41/flacs-constituency:Goyang 4,country:kr/province:41
Q50572404,용인시제2선거구,country:kr/province:41/flacs-constituency:Yongin 2,country:kr/province:41
Q50572405,부천시제1선거구,country:kr/province:41/flacs-constituency:Bucheon 1,country:kr/province:41
Q50572407,화성시제3선거구,country:kr/province:41/flacs-constituency:Hwaseong 3,country:kr/province:41
Q50572409,수원시제3선거구,country:kr/province:41/flacs-constituency:Suwon 3,country:kr/province:41
Q50572410,군포시제1선거구,country:kr/province:41/flacs-constituency:Gunpo 1,country:kr/province:41
Q50572412,성남시제1선거구,country:kr/province:41/flacs-constituency:Seongnam 1,country:kr/province:41
Q50572413,안산시제6선거구,country:kr/province:41/flacs-constituency:Ansan 6,country:kr/province:41
Q50572414,남양주시제2선거구,country:kr/province:41/flacs-constituency:Namyangju 2,country:kr/province:41
Q50572415,의정부시제2선거구,country:kr/province:41/flacs-constituency:Uijeongbu 2,country:kr/province:41
Q50572416,성남시제5선거구,country:kr/province:41/flacs-constituency:Seongnam 5,country:kr/province:41
Q50572417,시흥시제4선거구,country:kr/province:41/flacs-constituency:Siheung 4,country:kr/province:41
Q50572419,광주시제1선거구,country:kr/province:41/flacs-constituency:Gwangju 1,country:kr/province:41
Q50572421,평택시제3선거구,country:kr/province:41/flacs-constituency:Pyeongtaek 3,country:kr/province:41
Q50572422,남양주시제3선거구,country:kr/province:41/flacs-constituency:Namyangju 3,country:kr/province:41
Q50572425,파주시제2선거구,country:kr/province:41/flacs-constituency:Paju 2,country:kr/province:41
Q50572426,안양시제6선거구,country:kr/province:41/flacs-constituency:Anyang 6,country:kr/province:41
Q50572427,안양시제4선거구,country:kr/province:41/flacs-constituency:Anyang 4,country:kr/province:41
Q50572428,가평군선거구,country:kr/province:41/flacs-constituency:Gapyeong County 1,country:kr/province:41
Q50572429,광명시제1선거구,country:kr/province:41/flacs-constituency:Gwangmyeong 1,country:kr/province:41
Q50572430,용인시제4선거구,country:kr/province:41/flacs-constituency:Yongin 4,country:kr/province:41
Q50572431,성남시제8선거구,country:kr/province:41/flacs-constituency:Seongnam 8,country:kr/province:41
Q50572432,안양시제5선거구,country:kr/province:41/flacs-constituency:Anyang 5,country:kr/province:41
Q50572433,화성시제4선거구,country:kr/province:41/flacs-constituency:Hwaseong 4,country:kr/province:41
